mode,time,pelvis,head
authored,0.000000,0.453673,1.071216
authored,0.004167,0.451281,1.068828
authored,0.008333,0.448889,1.066440
authored,0.012500,0.446309,1.063863
authored,0.016667,0.443730,1.061287
authored,0.020833,0.441015,1.058576
authored,0.025000,0.438300,1.055866
authored,0.029167,0.435505,1.053077
authored,0.033333,0.432711,1.050291
authored,0.037500,0.429893,1.047483
authored,0.041667,0.427075,1.044675
authored,0.045833,0.424292,1.041904
authored,0.050000,0.421509,1.039133
authored,0.054167,0.418817,1.036454
authored,0.058333,0.416125,1.033775
authored,0.062500,0.413578,1.031243
authored,0.066667,0.411032,1.028712
authored,0.070833,0.408684,1.026379
authored,0.075000,0.406335,1.024046
authored,0.079167,0.404232,1.021959
authored,0.083333,0.402129,1.019872
authored,0.087500,0.400314,1.018075
authored,0.091667,0.398499,1.016277
authored,0.095833,0.397010,1.014804
authored,0.100000,0.395520,1.013331
authored,0.104167,0.394387,1.012213
authored,0.108333,0.393253,1.011095
authored,0.112500,0.392498,1.010356
authored,0.116667,0.391742,1.009616
authored,0.120833,0.391381,1.009270
authored,0.125000,0.391020,1.008924
authored,0.129167,0.391060,1.008977
authored,0.133333,0.391101,1.009030
authored,0.137500,0.391541,1.009483
authored,0.141667,0.391982,1.009936
authored,0.145833,0.392815,1.010779
authored,0.150000,0.393647,1.011621
authored,0.154167,0.394854,1.012836
authored,0.158333,0.396061,1.014051
authored,0.162500,0.397618,1.015614
authored,0.166667,0.399175,1.017177
authored,0.170833,0.401051,1.019056
authored,0.175000,0.402927,1.020935
authored,0.179167,0.405082,1.023092
authored,0.183333,0.407238,1.025249
authored,0.187500,0.409630,1.027640
authored,0.191667,0.412022,1.030030
authored,0.195833,0.414602,1.032607
authored,0.200000,0.417182,1.035183
authored,0.204167,0.419896,1.037892
authored,0.208333,0.422611,1.040601
authored,0.212500,0.425406,1.043388
authored,0.216667,0.428201,1.046174
authored,0.220833,0.431018,1.048982
authored,0.225000,0.433836,1.051789
authored,0.229167,0.436619,1.054561
authored,0.233333,0.439402,1.057332
authored,0.237500,0.442094,1.060012
authored,0.241667,0.444787,1.062690
authored,0.245833,0.447333,1.065222
authored,0.250000,0.449879,1.067753
authored,0.254167,0.452228,1.070086
authored,0.258333,0.454576,1.072419
authored,0.262500,0.456679,1.074506
authored,0.266667,0.458782,1.076592
authored,0.270833,0.460597,1.078391
authored,0.275000,0.462412,1.080189
authored,0.279167,0.463901,1.081662
authored,0.283333,0.465391,1.083134
authored,0.287500,0.466525,1.084252
authored,0.291667,0.467658,1.085369
authored,0.295833,0.468414,1.086109
authored,0.300000,0.469169,1.086849
authored,0.304167,0.469530,1.087195
authored,0.308333,0.469891,1.087542
authored,0.312500,0.469851,1.087488
authored,0.316667,0.469811,1.087435
authored,0.320833,0.469370,1.086981
authored,0.325000,0.468929,1.086529
authored,0.329167,0.468097,1.085686
authored,0.333333,0.467264,1.084844
authored,0.337500,0.466057,1.083629
authored,0.341667,0.464850,1.082414
authored,0.345833,0.463293,1.080851
authored,0.350000,0.461736,1.079288
authored,0.354167,0.459860,1.077409
authored,0.358333,0.457985,1.075530
authored,0.362500,0.455829,1.073372
authored,0.366667,0.453673,1.071216
authored,0.370833,0.451281,1.068825
