mode,time,phase,pelvis,head,pelvis_velocity,head_velocity,pelvis_acceleration,head_acceleration,source_pelvis,reach_drop,safety_drop,left_planted,right_planted
authored,0.000000,0.000000,0.4389280,1.0564710,0.000000,0.000000,0.0000,0.0000,0.4389280,0.0000000,0.0000000,0,0
authored,0.004167,0.005682,0.4444287,1.0619760,1.320169,1.321192,0.0000,0.0000,0.4444287,0.0000000,0.0000000,0,0
authored,0.008333,0.011364,0.4499294,1.0674800,1.320162,1.320991,-0.0017,-0.0481,0.4499294,0.0000000,0.0000000,0,0
authored,0.012500,0.017045,0.4554301,1.0729840,1.320169,1.320934,0.0017,-0.0137,0.4554301,0.0000000,0.0000000,0,0
authored,0.016667,0.022727,0.4609308,1.0784880,1.320176,1.320991,0.0017,0.0137,0.4609308,0.0000000,0.0000000,0,0
authored,0.020833,0.028409,0.4664315,1.0839930,1.320162,1.321106,-0.0034,0.0275,0.4664315,0.0000000,0.0000000,0,0
authored,0.025000,0.034091,0.4719322,1.0894980,1.320169,1.321363,0.0017,0.0618,0.4719322,0.0000000,0.0000000,0,0
authored,0.029167,0.039773,0.4774328,1.0950050,1.320162,1.321592,-0.0017,0.0549,0.4774328,0.0000000,0.0000000,0,0
authored,0.033333,0.045455,0.4829336,1.1005140,1.320169,1.322107,0.0017,0.1236,0.4829336,0.0000000,0.0000000,0,0
authored,0.037500,0.051136,0.4780982,1.0956880,-1.160474,-1.158199,-595.3542,-595.2735,0.4780982,0.0000000,0.0000000,0,0
authored,0.041667,0.056818,0.4732628,1.0908630,-1.160495,-1.157970,-0.0051,0.0549,0.4732628,0.0000000,0.0000000,0,0
authored,0.045833,0.062500,0.4684275,1.0860390,-1.160488,-1.157770,0.0017,0.0481,0.4684275,0.0000000,0.0000000,0,0
authored,0.050000,0.068182,0.4635921,1.0812160,-1.160481,-1.157541,0.0017,0.0549,0.4635921,0.0000000,0.0000000,0,0
authored,0.054167,0.073864,0.4587567,1.0763940,-1.160495,-1.157369,-0.0034,0.0412,0.4587567,0.0000000,0.0000000,0,0
authored,0.058333,0.079545,0.4539214,1.0715720,-1.160474,-1.157169,0.0051,0.0481,0.4539214,0.0000000,0.0000000,0,0
authored,0.062500,0.085227,0.4490860,1.0667510,-1.160495,-1.157055,-0.0051,0.0275,0.4490860,0.0000000,0.0000000,0,0
authored,0.066667,0.090909,0.4442507,1.0619310,-1.160481,-1.156912,0.0034,0.0343,0.4442507,0.0000000,0.0000000,0,0
authored,0.070833,0.096591,0.4420990,1.0597940,-0.516400,-0.512781,154.5793,154.5913,0.4420990,0.0000000,0.0000000,0,0
authored,0.075000,0.102273,0.4399473,1.0576580,-0.516415,-0.512581,-0.0034,0.0481,0.4399473,0.0000000,0.0000000,0,0
authored,0.079167,0.107955,0.4377956,1.0555230,-0.516408,-0.512495,0.0017,0.0206,0.4377956,0.0000000,0.0000000,0,0
authored,0.083333,0.113636,0.4356439,1.0533880,-0.516415,-0.512466,-0.0017,0.0069,0.4356439,0.0000000,0.0000000,0,0
authored,0.087500,0.119318,0.4334922,1.0512530,-0.516400,-0.512352,0.0034,0.0275,0.4334922,0.0000000,0.0000000,0,0
authored,0.091667,0.125000,0.4313405,1.0491180,-0.516400,-0.512409,0.0000,-0.0137,0.4313405,0.0000000,0.0000000,0,0
authored,0.095833,0.130682,0.4291888,1.0469830,-0.516415,-0.512438,-0.0034,-0.0069,0.4291888,0.0000000,0.0000000,0,0
authored,0.100000,0.136364,0.4270371,1.0448470,-0.516408,-0.512409,0.0017,0.0069,0.4270371,0.0000000,0.0000000,0,0
authored,0.104167,0.142045,0.4287465,1.0465730,0.410256,0.414104,222.3993,222.3633,0.4287465,0.0000000,0.0000000,0,0
authored,0.108333,0.147727,0.4304560,1.0482990,0.410264,0.414190,0.0017,0.0206,0.4304560,0.0000000,0.0000000,0,0
authored,0.112500,0.153409,0.4321654,1.0500240,0.410256,0.414047,-0.0017,-0.0343,0.4321654,0.0000000,0.0000000,0,0
authored,0.116667,0.159091,0.4338748,1.0517490,0.410264,0.414019,0.0017,-0.0069,0.4338748,0.0000000,0.0000000,0,0
authored,0.120833,0.164773,0.4355842,1.0534730,0.410256,0.413876,-0.0017,-0.0343,0.4355842,0.0000000,0.0000000,0,0
authored,0.125000,0.170455,0.4372936,1.0551970,0.410256,0.413675,0.0000,-0.0481,0.4372936,0.0000000,0.0000000,0,0
authored,0.129167,0.176136,0.4390030,1.0569200,0.410264,0.413532,0.0017,-0.0343,0.4390030,0.0000000,0.0000000,0,0
authored,0.133333,0.181818,0.4407124,1.0586430,0.410256,0.413361,-0.0017,-0.0412,0.4407124,0.0000000,0.0000000,0,0
authored,0.137500,0.187500,0.4436773,1.0616200,0.711579,0.714483,72.3175,72.2694,0.4436773,0.0000000,0.0000000,0,0
