clip,time,pelvis,head,shoeMin,handMin,coatMin,packMin,spineAngle,headAngle,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ
5,0.000000,0.532000,1.161927,0.001019,0.533868,0.388831,0.515303,0.000000,0.000000,-0.323704,0.687224,0.129837,0.364570,0.672400,0.075491
5,0.004167,0.532000,1.161927,0.001025,0.533832,0.388856,0.515308,-0.000183,0.000000,-0.323766,0.687126,0.129615,0.364554,0.672372,0.075448
5,0.008333,0.532000,1.161927,0.001028,0.533798,0.388872,0.515307,-0.000854,0.000007,-0.323812,0.687048,0.129456,0.364548,0.672342,0.075394
5,0.012500,0.532000,1.161928,0.001031,0.533763,0.388884,0.515304,-0.001770,0.000031,-0.323874,0.686977,0.129321,0.364523,0.672311,0.075335
5,0.016667,0.532000,1.161928,0.001034,0.533729,0.388898,0.515303,-0.002563,0.000041,-0.323940,0.686903,0.129174,0.364496,0.672281,0.075279
5,0.020833,0.532000,1.161928,0.001039,0.533694,0.388920,0.515305,-0.002930,0.000048,-0.324057,0.686814,0.128977,0.364423,0.672252,0.075231
5,0.025000,0.532000,1.161929,0.001048,0.533658,0.388956,0.515316,-0.002594,0.000038,-0.324195,0.686697,0.128693,0.364335,0.672228,0.075198
5,0.029167,0.532000,1.161930,0.001062,0.533622,0.389012,0.515338,-0.001221,0.000021,-0.324414,0.686542,0.128284,0.364177,0.672208,0.075185
5,0.033333,0.532000,1.161932,0.001082,0.533584,0.389094,0.515374,0.001527,-0.000031,-0.324672,0.686337,0.127714,0.363994,0.672194,0.075200
5,0.037500,0.532000,1.161934,0.001109,0.533525,0.389201,0.515415,0.004225,-0.000122,-0.325037,0.686057,0.126927,0.363740,0.672168,0.075169
5,0.041667,0.532000,1.161936,0.001141,0.533438,0.389325,0.515456,0.006001,-0.000244,-0.325449,0.685702,0.125935,0.363484,0.672118,0.075057
5,0.045833,0.532000,1.161939,0.001179,0.533341,0.389467,0.515501,0.007899,-0.000397,-0.325952,0.685301,0.124800,0.363156,0.672061,0.074921
5,0.050000,0.532000,1.161941,0.001222,0.533252,0.389624,0.515557,0.010987,-0.000549,-0.326471,0.684885,0.123583,0.362810,0.672017,0.074820
5,0.054167,0.532000,1.161944,0.001272,0.533188,0.389796,0.515630,0.016294,-0.000702,-0.327050,0.684481,0.122347,0.362378,0.672003,0.074815
5,0.058333,0.532000,1.161947,0.001327,0.533169,0.389983,0.515727,0.024893,-0.000854,-0.327617,0.684117,0.121153,0.361911,0.672037,0.074963
5,0.062500,0.532000,1.161950,0.001389,0.533216,0.390182,0.515853,0.037827,-0.000946,-0.328212,0.683821,0.120064,0.361347,0.672139,0.075323
5,0.066667,0.532000,1.161954,0.001457,0.533348,0.390393,0.516016,0.056149,-0.000977,-0.328769,0.683621,0.119144,0.360731,0.672329,0.075954
5,0.070833,0.532000,1.161957,0.001535,0.533559,0.390623,0.516208,0.078659,-0.001221,-0.329358,0.683487,0.118253,0.360022,0.672603,0.076759
