clip,time,pelvis,head,shoeMin,handMin,coatMin,packMin
5,0.000000,0.532000,1.161927,0.001019,0.533867,0.388831,0.515303
5,0.004167,0.532000,1.161927,0.001023,0.533841,0.388849,0.515304
5,0.008333,0.532000,1.161927,0.001028,0.533810,0.388860,0.515292
5,0.012500,0.532000,1.161927,0.001032,0.533779,0.388868,0.515277
5,0.016667,0.532000,1.161927,0.001037,0.533748,0.388877,0.515263
5,0.020833,0.531999,1.161927,0.001040,0.533719,0.388892,0.515259
5,0.025000,0.531999,1.161927,0.001045,0.533695,0.388918,0.515271
5,0.029167,0.531996,1.161925,0.001047,0.533677,0.388957,0.515305
5,0.033333,0.531993,1.161924,0.001050,0.533667,0.389017,0.515370
5,0.037500,0.531985,1.161917,0.001051,0.533638,0.389090,0.515433
5,0.041667,0.531977,1.161911,0.001057,0.533581,0.389175,0.515479
5,0.045833,0.531959,1.161894,0.001056,0.533507,0.389263,0.515519
5,0.050000,0.531940,1.161878,0.001056,0.533447,0.389363,0.515586
5,0.054167,0.531904,1.161844,0.001041,0.533405,0.389459,0.515683
5,0.058333,0.531868,1.161810,0.001028,0.533421,0.389567,0.515849
5,0.062500,0.531806,1.161750,0.000991,0.533491,0.389662,0.516079
5,0.066667,0.531744,1.161690,0.000958,0.533667,0.389770,0.516421
5,0.070833,0.531647,1.161594,0.000899,0.533900,0.389860,0.516772
5,0.075000,0.531550,1.161497,0.000855,0.534201,0.389969,0.517161
5,0.079167,0.531410,1.161355,0.000786,0.534541,0.390050,0.517509
5,0.083333,0.531269,1.161211,0.000738,0.534979,0.390145,0.517922
5,0.087500,0.531079,1.161013,0.000663,0.535480,0.390198,0.518358
5,0.091667,0.530888,1.160812,0.000614,0.536109,0.390220,0.518851
5,0.095833,0.530643,1.160551,0.000540,0.536828,0.390092,0.519362
5,0.100000,0.530397,1.160284,0.000496,0.537709,0.389960,0.519970
5,0.104167,0.530097,1.159953,0.000436,0.538745,0.389773,0.520645
5,0.108333,0.529797,1.159610,0.000428,0.540019,0.389588,0.521424
5,0.112500,0.529446,1.159204,0.000422,0.541460,0.389354,0.522222
5,0.116667,0.529095,1.158785,0.000469,0.543095,0.389121,0.523096
5,0.120833,0.528700,1.158309,0.000523,0.544847,0.388845,0.523979
5,0.125000,0.528305,1.157820,0.000621,0.546722,0.388566,0.524895
5,0.129167,0.527879,1.157288,0.000719,0.548639,0.388137,0.525788
5,0.133333,0.527453,1.156746,0.000838,0.550577,0.387638,0.526668
5,0.137500,0.527011,1.156173,0.000971,0.552608,0.387122,0.527574
5,0.141667,0.526569,1.155579,0.001154,0.554843,0.386603,0.528565
5,0.145833,0.526128,1.154967,0.001378,0.557229,0.386084,0.529609
5,0.150000,0.525687,1.154341,0.001631,0.559701,0.385567,0.530636
5,0.154167,0.525266,1.153723,0.001915,0.562206,0.385073,0.531651
5,0.158333,0.524845,1.153102,0.002195,0.564645,0.384583,0.532607
5,0.162500,0.524461,1.152522,0.002488,0.566968,0.384138,0.533502
5,0.166667,0.524077,1.151953,0.002733,0.569046,0.383701,0.534263
5,0.170833,0.523745,1.151448,0.002979,0.570949,0.383322,0.534962
5,0.175000,0.523413,1.150949,0.003186,0.572699,0.382865,0.535593
5,0.179167,0.523144,1.150521,0.003413,0.574355,0.382484,0.536213
