clip,time,pelvis,head,shoeMin,handMin,coatMin,packMin,spineAngle,headAngle,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ
5,0.000000,0.532000,1.161927,0.001019,0.533867,0.388831,0.515303,0.000000,0.000000,-0.323704,0.687224,0.129837,0.364570,0.672400,0.075491
5,0.004167,0.532000,1.161927,0.001025,0.533832,0.388856,0.515308,-0.000153,0.000000,-0.323766,0.687126,0.129615,0.364554,0.672372,0.075447
5,0.008333,0.532000,1.161927,0.001028,0.533797,0.388872,0.515307,-0.000793,-0.000031,-0.323812,0.687046,0.129454,0.364548,0.672341,0.075392
5,0.012500,0.532000,1.161928,0.001031,0.533761,0.388884,0.515305,-0.001587,-0.000031,-0.323874,0.686974,0.129318,0.364523,0.672309,0.075332
5,0.016667,0.532000,1.161928,0.001034,0.533726,0.388898,0.515304,-0.002319,-0.000061,-0.323940,0.686899,0.129170,0.364496,0.672278,0.075274
5,0.020833,0.532000,1.161928,0.001039,0.533690,0.388920,0.515307,-0.002655,-0.000061,-0.324057,0.686809,0.128972,0.364422,0.672249,0.075226
5,0.025000,0.532000,1.161929,0.001048,0.533656,0.388956,0.515317,-0.002350,-0.000061,-0.324195,0.686693,0.128688,0.364335,0.672225,0.075193
5,0.029167,0.532000,1.161930,0.001062,0.533621,0.389012,0.515338,-0.001129,-0.000031,-0.324414,0.686541,0.128282,0.364177,0.672207,0.075183
5,0.033333,0.532000,1.161932,0.001082,0.533588,0.389094,0.515372,0.001322,0.000027,-0.324671,0.686342,0.127715,0.363994,0.672198,0.075202
5,0.037500,0.532000,1.161934,0.001109,0.533535,0.389201,0.515412,0.003668,0.000048,-0.325036,0.686069,0.126932,0.363740,0.672178,0.075176
5,0.041667,0.532000,1.161936,0.001141,0.533455,0.389325,0.515450,0.005075,0.000017,-0.325448,0.685722,0.125942,0.363483,0.672134,0.075067
5,0.045833,0.532000,1.161939,0.001179,0.533364,0.389467,0.515492,0.006537,-0.000031,-0.325950,0.685331,0.124808,0.363155,0.672085,0.074934
5,0.050000,0.532000,1.161941,0.001222,0.533284,0.389624,0.515545,0.009102,-0.000031,-0.326468,0.684926,0.123595,0.362809,0.672050,0.074839
5,0.054167,0.532000,1.161944,0.001272,0.533231,0.389796,0.515614,0.013750,0.000027,-0.327046,0.684535,0.122365,0.362377,0.672047,0.074842
5,0.058333,0.532000,1.161947,0.001327,0.533227,0.389983,0.515705,0.021492,0.000191,-0.327613,0.684189,0.121184,0.361910,0.672095,0.075005
5,0.062500,0.532000,1.161951,0.001389,0.533291,0.390182,0.515825,0.033356,0.000511,-0.328207,0.683915,0.120116,0.361347,0.672214,0.075388
5,0.066667,0.532000,1.161954,0.001457,0.533445,0.390393,0.515979,0.050340,0.001003,-0.328763,0.683743,0.119224,0.360732,0.672427,0.076050
5,0.070833,0.532000,1.161957,0.001535,0.533684,0.390622,0.516161,0.071108,0.001498,-0.329352,0.683643,0.118370,0.360024,0.672729,0.076895
5,0.075000,0.532000,1.161961,0.001623,0.533994,0.390874,0.516362,0.094133,0.001856,-0.329951,0.683580,0.117429,0.359277,0.673105,0.077821
5,0.079167,0.532000,1.161964,0.001722,0.534379,0.391143,0.516586,0.120129,0.002218,-0.330579,0.683572,0.116493,0.358453,0.673562,0.078882
5,0.083333,0.532000,1.161967,0.001830,0.534848,0.391424,0.516832,0.149793,0.002760,-0.331184,0.683634,0.115655,0.357585,0.674102,0.080132
5,0.087500,0.532000,1.161970,0.001946,0.535404,0.391712,0.517083,0.183828,0.003638,-0.331778,0.683781,0.115005,0.356647,0.674729,0.081625
5,0.091667,0.532000,1.161972,0.002067,0.536051,0.392003,0.517362,0.222972,0.004990,-0.332319,0.684025,0.114635,0.355663,0.675445,0.083415
5,0.095833,0.532000,1.161973,0.002193,0.536792,0.392290,0.517643,0.267908,0.006981,-0.332808,0.684377,0.114640,0.354617,0.676253,0.085557
5,0.100000,0.532000,1.161974,0.002319,0.537628,0.392569,0.517946,0.319343,0.009771,-0.333218,0.684846,0.115110,0.353520,0.677152,0.088105
5,0.104167,0.532000,1.161974,0.002451,0.538614,0.392848,0.518286,0.378131,0.013162,-0.333548,0.685470,0.116015,0.352350,0.678199,0.091091
5,0.108333,0.532000,1.161972,0.002591,0.539785,0.393071,0.518663,0.443957,0.016950,-0.333811,0.686259,0.117250,0.351094,0.679431,0.094470
5,0.112500,0.532000,1.161970,0.002738,0.541111,0.393289,0.519042,0.515794,0.021212,-0.334002,0.687184,0.118797,0.349780,0.680817,0.098181
5,0.116667,0.532000,1.161966,0.002888,0.542557,0.393506,0.519445,0.592604,0.026031,-0.334139,0.688208,0.120638,0.348412,0.682320,0.102163
5,0.120833,0.532000,1.161960,0.003039,0.544079,0.393715,0.519866,0.673382,0.031509,-0.334206,0.689295,0.122758,0.347031,0.683897,0.106362
5,0.125000,0.532000,1.161953,0.003190,0.545629,0.393912,0.520297,0.757090,0.037714,-0.334235,0.690401,0.125144,0.345632,0.685497,0.110724
5,0.129167,0.531995,1.161940,0.003333,0.547148,0.394087,0.520709,0.842688,0.044767,-0.334197,0.691480,0.127787,0.344268,0.687061,0.115202
5,0.133333,0.531991,1.161926,0.003473,0.548580,0.394239,0.521123,0.929160,0.052731,-0.334137,0.692489,0.130677,0.342923,0.688533,0.119753
