time,state,pelvisY,headY,pelvisVelocity,headVelocity,forwardSpeed
0.000000,WeightShift,0.5238706,1.1537970,0.0000000,0.0000000,0.0000000
0.004167,WeightShift,0.5242031,1.1541300,0.0798082,0.0799084,0.0000000
0.008333,WeightShift,0.5244436,1.1543720,0.0577211,0.0578785,0.0000000
0.012500,WeightShift,0.5245916,1.1545200,0.0355196,0.0355911,0.0000000
0.016667,WeightShift,0.5246751,1.1546040,0.0200415,0.0201702,0.0000000
0.020833,WeightShift,0.5247526,1.1546820,0.0185967,0.0187111,0.0000000
0.025000,WeightShift,0.5248256,1.1547550,0.0175095,0.0176525,0.0000000
0.029167,WeightShift,0.5248938,1.1548240,0.0163651,0.0164509,0.0000000
0.033333,WeightShift,0.5249569,1.1548870,0.0151491,0.0152493,0.0000000
0.037500,WeightShift,0.5250149,1.1549460,0.0139189,0.0140476,0.0000000
0.041667,WeightShift,0.5250676,1.1549990,0.0126457,0.0127316,0.0000000
0.045833,WeightShift,0.5251151,1.1550470,0.0114012,0.0115299,0.0000000
0.050000,WeightShift,0.5251572,1.1550900,0.0101137,0.0102425,0.0000000
0.054167,WeightShift,0.5251940,1.1551270,0.0088406,0.0089550,0.0000000
0.058333,WeightShift,0.5252255,1.1551590,0.0075531,0.0076675,0.0000000
0.062500,WeightShift,0.5252516,1.1551850,0.0062656,0.0063515,0.0000000
0.066667,WeightShift,0.5252725,1.1552070,0.0050068,0.0050926,0.0000000
0.070833,WeightShift,0.5252881,1.1552230,0.0037479,0.0038910,0.0000000
0.075000,WeightShift,0.5252984,1.1552340,0.0024748,0.0025463,0.0000000
0.079167,WeightShift,0.5253033,1.1552390,0.0011730,0.0013447,0.0000000
0.083333,WeightShift,0.5253028,1.1552390,-0.0001144,-0.0000858,0.0000000
0.087500,WeightShift,0.5252969,1.1552330,-0.0014162,-0.0012875,0.0000000
0.091667,WeightShift,0.5252854,1.1552220,-0.0027752,-0.0026321,0.0000000
0.095833,WeightShift,0.5252681,1.1552060,-0.0041342,-0.0040054,0.0000000
0.100000,WeightShift,0.5252452,1.1551830,-0.0055075,-0.0054359,0.0000000
0.104167,WeightShift,0.5252165,1.1551550,-0.0068951,-0.0068092,0.0000000
0.108333,WeightShift,0.5251820,1.1551210,-0.0082684,-0.0081825,0.0000000
0.112500,WeightShift,0.5251417,1.1550810,-0.0096846,-0.0095558,0.0000000
0.116667,WeightShift,0.5250953,1.1550350,-0.0111294,-0.0110436,0.0000000
0.120833,WeightShift,0.5250431,1.1549830,-0.0125170,-0.0123882,0.0000000
0.125000,WeightShift,0.5249851,1.1549250,-0.0139332,-0.0138474,0.0000000
0.129167,WeightShift,0.5249217,1.1548630,-0.0152206,-0.0151062,0.0000000
0.133333,WeightShift,0.5248528,1.1547940,-0.0165224,-0.0164223,0.0000000
0.137500,WeightShift,0.5247792,1.1547210,-0.0176668,-0.0175667,0.0000000
0.141667,WeightShift,0.5247007,1.1546430,-0.0188398,-0.0187397,0.0000000
0.145833,WeightShift,0.5246183,1.1545610,-0.0197840,-0.0196838,0.0000000
0.150000,Starting,0.5245324,1.1544750,-0.0205994,-0.0204849,0.0000000
0.154167,Starting,0.5245706,1.1545140,0.0091553,0.0092125,0.0159722
0.158333,Starting,0.5246723,1.1546160,0.0244045,0.0244618,0.0319444
0.162500,Starting,0.5248317,1.1547750,0.0382662,0.0383091,0.0479167
0.166667,Starting,0.5250418,1.1549860,0.0504255,0.0504398,0.0638889
0.170833,Starting,0.5252930,1.1552370,0.0602818,0.0602818,0.0798611
0.175000,Starting,0.5255740,1.1555180,0.0674486,0.0674057,0.0958333
0.179167,Starting,0.5258725,1.1558160,0.0716257,0.0715828,0.1118055
0.183333,Starting,0.5262128,1.1561560,0.0816679,0.0815678,0.1277778
0.187500,Starting,0.5266058,1.1565490,0.0943422,0.0942707,0.1437500
0.191667,Starting,0.5270258,1.1569680,0.1007938,0.1006794,0.1597222
0.195833,Starting,0.5274670,1.1574090,0.1058722,0.1057434,0.1756944
0.200000,Starting,0.5279250,1.1578660,0.1099348,0.1097775,0.1916666
0.204167,Starting,0.5283056,1.1582460,0.0913525,0.0912380,0.2076389
0.208333,Starting,0.5282890,1.1582290,-0.0039911,-0.0041771,0.2236111
0.212500,Starting,0.5281133,1.1580530,-0.0421715,-0.0422859,0.2395833
0.216667,Starting,0.5277526,1.1576910,-0.0865746,-0.0866604,0.2555555
0.220833,Starting,0.5271816,1.1571200,-0.1370287,-0.1372433,0.2715278
0.225000,Starting,0.5263752,1.1563130,-0.1935482,-0.1936913,0.2875000
0.229167,Starting,0.5255314,1.1554680,-0.2025032,-0.2027321,0.3034723
0.233333,Starting,0.5249360,1.1548710,-0.1428938,-0.1432228,0.3194445
0.237500,Starting,0.5241921,1.1541260,-0.1785421,-0.1788998,0.3354167
0.241667,Starting,0.5232912,1.1532230,-0.2162218,-0.2166367,0.3513890
0.245833,Starting,0.5222272,1.1521580,-0.2553463,-0.2556896,0.3673612
0.250000,Starting,0.5214447,1.1513740,-0.1878119,-0.1879692,0.3833334
0.254167,Starting,0.5210406,1.1509710,-0.0969887,-0.0969315,0.3993057
0.258333,Starting,0.5206090,1.1505400,-0.1035690,-0.1033401,0.4152779
0.262500,Starting,0.5201527,1.1500860,-0.1095057,-0.1089191,0.4312501
0.266667,Starting,0.5196782,1.1496160,-0.1138830,-0.1129532,0.4472224
0.270833,Starting,0.5192130,1.1491560,-0.1116657,-0.1102066,0.4631946
0.275000,Starting,0.5187376,1.1486890,-0.1140976,-0.1121807,0.4791668
0.279167,Starting,0.5182370,1.1481970,-0.1201344,-0.1181030,0.4951390
0.283333,Starting,0.5176913,1.1476590,-0.1309633,-0.1291180,0.5111112
