time,state,pelvisY,headY,pelvisVelocity,headVelocity,forwardSpeed
0.000000,Starting,0.5238702,1.1537970,0.0000000,0.0000000,0.0000000
0.004167,Starting,0.5238921,1.1538190,0.0052500,0.0053501,0.0106482
0.008333,Starting,0.5239449,1.1538730,0.0126743,0.0127888,0.0212963
0.012500,Starting,0.5240275,1.1539560,0.0198126,0.0199127,0.0319445
0.016667,Starting,0.5241384,1.1540670,0.0266218,0.0266933,0.0425926
0.020833,Starting,0.5242751,1.1542040,0.0328016,0.0328732,0.0532407
0.025000,Starting,0.5244355,1.1543640,0.0384951,0.0385380,0.0638889
0.029167,Starting,0.5246170,1.1545460,0.0435591,0.0436306,0.0745370
0.033333,Starting,0.5248166,1.1547460,0.0479078,0.0479221,0.0851852
0.037500,Starting,0.5250306,1.1549600,0.0513697,0.0514126,0.0958333
0.041667,Starting,0.5252562,1.1551860,0.0541449,0.0541592,0.1064815
0.045833,Starting,0.5254889,1.1554190,0.0558329,0.0558472,0.1171296
0.050000,Starting,0.5257633,1.1556930,0.0658608,0.0658321,0.1277778
0.054167,Starting,0.5260620,1.1559920,0.0716972,0.0717259,0.1384259
0.058333,Starting,0.5263776,1.1563070,0.0757456,0.0757313,0.1490741
0.062500,Starting,0.5267096,1.1566390,0.0796652,0.0796509,0.1597222
0.066667,Starting,0.5270561,1.1569860,0.0831699,0.0831413,0.1703704
0.070833,Starting,0.5274166,1.1573460,0.0865316,0.0865173,0.1810185
0.075000,Starting,0.5277901,1.1577190,0.0896215,0.0896072,0.1916667
0.079167,Starting,0.5281748,1.1581040,0.0923252,0.0922680,0.2023148
0.083333,Starting,0.5283337,1.1582630,0.0381517,0.0381088,0.2129630
0.087500,Starting,0.5283933,1.1583220,0.0143051,0.0143051,0.2236112
0.091667,Starting,0.5283897,1.1583190,-0.0008726,-0.0008869,0.2342593
0.095833,Starting,0.5283157,1.1582440,-0.0177670,-0.0177956,0.2449075
0.100000,Starting,0.5281641,1.1580930,-0.0363636,-0.0363636,0.2555556
0.104167,Starting,0.5279282,1.1578570,-0.0566340,-0.0566769,0.2662038
0.108333,Starting,0.5276002,1.1575290,-0.0787211,-0.0787354,0.2768520
0.112500,Starting,0.5271728,1.1571010,-0.1025677,-0.1025963,0.2875001
0.116667,Starting,0.5266437,1.1565720,-0.1269865,-0.1270580,0.2981483
0.120833,Starting,0.5264505,1.1563780,-0.0463629,-0.0464630,0.3087964
0.125000,Starting,0.5262040,1.1561310,-0.0591660,-0.0593090,0.3194446
0.129167,Starting,0.5259014,1.1558280,-0.0726128,-0.0727844,0.3300927
0.133333,Starting,0.5255406,1.1554660,-0.0865889,-0.0867748,0.3407408
0.137500,Starting,0.5251198,1.1550450,-0.1009941,-0.1011658,0.3513890
0.141667,Starting,0.5246372,1.1545610,-0.1158428,-0.1160145,0.3620371
0.145833,Starting,0.5240918,1.1540160,-0.1308775,-0.1309490,0.3726853
0.150000,Starting,0.5239275,1.1538510,-0.0394535,-0.0394821,0.3833334
0.154167,Starting,0.5238972,1.1538210,-0.0072527,-0.0071812,0.3939815
0.158333,Starting,0.5238644,1.1537890,-0.0078678,-0.0077248,0.4046296
0.162500,Starting,0.5238293,1.1537550,-0.0084400,-0.0081253,0.4152778
0.166667,Starting,0.5237927,1.1537200,-0.0087690,-0.0083542,0.4259259
0.170833,Starting,0.5237553,1.1536850,-0.0089836,-0.0084400,0.4365741
0.175000,Starting,0.5237210,1.1536540,-0.0082397,-0.0074959,0.4472222
0.179167,Starting,0.5237032,1.1536400,-0.0042772,-0.0032902,0.4578704
0.183333,Starting,0.5228869,1.1528290,-0.1958942,-0.1946354,0.4685185
0.187500,Starting,0.5214911,1.1514390,-0.3349972,-0.3336239,0.4791667
0.191667,Starting,0.5200327,1.1499870,-0.3500175,-0.3485584,0.4898148
0.195833,Starting,0.5185744,1.1485340,-0.3500032,-0.3486156,0.5004629
0.200000,Starting,0.5171160,1.1470810,-0.3500032,-0.3487301,0.5111110
0.204167,Starting,0.5156577,1.1456280,-0.3499889,-0.3488445,0.5217592
0.208333,Starting,0.5141993,1.1441740,-0.3500175,-0.3489590,0.5324073
0.212500,Starting,0.5127410,1.1427190,-0.3500032,-0.3490448,0.5430555
0.216667,Starting,0.5112826,1.1412640,-0.3500032,-0.3491879,0.5537036
0.220833,Starting,0.5098243,1.1398090,-0.3499889,-0.3492165,0.5643517
0.225000,Starting,0.5083659,1.1383530,-0.3500175,-0.3494167,0.5749999
0.229167,Starting,0.5069076,1.1368970,-0.3500032,-0.3495312,0.5856480
0.233333,Starting,0.5054492,1.1354400,-0.3500032,-0.3497601,0.5962961
0.237500,Starting,0.5039909,1.1339820,-0.3499889,-0.3499317,0.6069443
0.241667,Starting,0.5025325,1.1325220,-0.3500175,-0.3502178,0.6175924
0.245833,Starting,0.5010742,1.1310630,-0.3500032,-0.3503895,0.6282406
0.250000,Starting,0.4996160,1.1296020,-0.3499603,-0.3505898,0.6388887
0.254167,Starting,0.4981576,1.1281390,-0.3500175,-0.3509617,0.6495368
0.258333,Starting,0.4971184,1.1270950,-0.2494025,-0.2506542,0.6601850
0.262500,Starting,0.4968525,1.1268220,-0.0638151,-0.0656033,0.6708332
0.266667,Starting,0.4966501,1.1266100,-0.0485802,-0.0507546,0.6814812
0.270833,Starting,0.4965245,1.1264740,-0.0301623,-0.0327015,0.6921294
0.275000,Starting,0.4964866,1.1264250,-0.0090766,-0.0117874,0.7027776
0.279167,Starting,0.4962765,1.1262030,-0.0504255,-0.0532150,0.7134258
0.283333,Starting,0.4960760,1.1259910,-0.0481224,-0.0509548,0.7240738
0.287500,Starting,0.4959569,1.1258600,-0.0285888,-0.0314140,0.7347220
0.291667,Starting,0.4959212,1.1258130,-0.0085616,-0.0113297,0.7453701
0.295833,Starting,0.4959707,1.1258510,0.0118804,0.0092411,0.7560183
0.300000,Starting,0.4961073,1.1259770,0.0327873,0.0302982,0.7666664
0.304167,Starting,0.4959629,1.1258230,-0.0346541,-0.0369644,0.7773145
0.308333,Starting,0.4947621,1.1246140,-0.2882123,-0.2901363,0.7879627
0.312500,Starting,0.4936301,1.1234760,-0.2716684,-0.2731991,0.7986108
0.316667,Starting,0.4925691,1.1224100,-0.2546382,-0.2558613,0.8092589
0.320833,Starting,0.4940274,1.1238640,0.3499961,0.3489876,0.8199071
0.325000,Starting,0.4954858,1.1253190,0.3500032,0.3491879,0.8305553
0.329167,Starting,0.4969441,1.1267740,0.3499961,0.3492165,0.8412033
0.333333,Starting,0.4984025,1.1282290,0.3500175,0.3491879,0.8518515
0.337500,Starting,0.4998608,1.1296840,0.3499961,0.3490734,0.8624997
0.341667,Starting,0.5013190,1.1311380,0.3499603,0.3490162,0.8731477
0.345833,Starting,0.5027773,1.1325920,0.3500032,0.3490448,0.8837959
0.350000,Starting,0.5042357,1.1340460,0.3500175,0.3489876,0.8944440
0.354167,Starting,0.5056940,1.1355000,0.3499889,0.3489304,0.9050922
0.358333,Starting,0.5071524,1.1369540,0.3500032,0.3489304,0.9157403
0.362500,Starting,0.5086107,1.1384080,0.3500032,0.3489876,0.9263885
0.366667,Starting,0.5100691,1.1398620,0.3500175,0.3489876,0.9370366
0.370833,Starting,0.5115274,1.1413170,0.3499889,0.3490448,0.9476848
0.375000,Starting,0.5117036,1.1414890,0.0422859,0.0414276,0.9583329
0.379167,Starting,0.5110832,1.1408660,-0.1488876,-0.1496887,0.9689810
0.383333,Starting,0.5106244,1.1404030,-0.1101208,-0.1109219,0.9796292
0.387500,Starting,0.5103329,1.1401090,-0.0699663,-0.0707245,0.9902773
0.391667,Starting,0.5102133,1.1399860,-0.0287104,-0.0294972,1.0009250
0.395833,Starting,0.5102705,1.1400400,0.0137472,0.0129032,1.0115740
0.400000,Starting,0.5105085,1.1402740,0.0571060,0.0562763,1.0222220
0.404167,Starting,0.5109300,1.1406920,0.1011658,0.1003361,1.0328700
0.408333,Starting,0.5115376,1.1412960,0.1458263,0.1449680,1.0435180
0.412500,Starting,0.5123332,1.1420880,0.1909304,0.1900864,1.0541660
0.416667,Starting,0.5133176,1.1430690,0.2362633,0.2354336,1.0648140
0.420833,Starting,0.5144910,1.1442390,0.2816105,0.2808666,1.0754620
0.425000,Starting,0.5158519,1.1455970,0.3266144,0.3258705,1.0861100
0.429167,Starting,0.5173103,1.1470530,0.3500175,0.3493595,1.0967590
0.433333,Starting,0.5187685,1.1485090,0.3499889,0.3494167,1.1074070
0.437500,Starting,0.5202269,1.1499650,0.3500032,0.3495598,1.1180550
0.441667,Starting,0.5216852,1.1514220,0.3500032,0.3497028,1.1287030
0.445833,Starting,0.5231436,1.1528800,0.3500175,0.3498173,1.1393510
0.450000,Starting,0.5246020,1.1543380,0.3500032,0.3499317,1.1499990
0.454167,Walking,0.5260603,1.1557960,0.3499889,0.3499889,1.1500000
0.458333,Walking,0.5275189,1.1572590,0.3500748,0.3511047,1.1500000
0.462500,Walking,0.5260588,1.1558020,-0.3504324,-0.3497601,1.1500000
0.466667,Walking,0.5245938,1.1543380,-0.3516054,-0.3512478,1.1500000
0.470833,Walking,0.5231309,1.1528760,-0.3510904,-0.3510475,1.1500000
0.475000,Walking,0.5216682,1.1514120,-0.3510475,-0.3512478,1.1500000
0.479167,Walking,0.5202065,1.1499490,-0.3508186,-0.3511333,1.1500000
0.483333,Walking,0.5187464,1.1484870,-0.3504181,-0.3507900,1.1500000
0.487500,Walking,0.5172888,1.1470290,-0.3498173,-0.3501034,1.1500000
0.491667,Walking,0.5158176,1.1455570,-0.3530931,-0.3532791,1.1500000
0.495833,Walking,0.5143422,1.1440810,-0.3540802,-0.3541660,1.1500000
0.500000,Walking,0.5128632,1.1426020,-0.3549671,-0.3550243,1.1500000
0.504167,Walking,0.5113809,1.1411190,-0.3557682,-0.3558540,1.1500000
0.508333,Walking,0.5098945,1.1396320,-0.3567123,-0.3569126,1.1500000
0.512500,Walking,0.5084034,1.1381400,-0.3578711,-0.3581142,1.1500000
0.516667,Walking,0.5069078,1.1366430,-0.3589582,-0.3592873,1.1500000
0.520833,Walking,0.5054143,1.1351470,-0.3584290,-0.3589439,1.1500000
0.525000,Walking,0.5040032,1.1337340,-0.3386736,-0.3392601,1.1500000
0.529167,Walking,0.5026803,1.1324080,-0.3174877,-0.3182316,1.1500000
0.533333,Walking,0.5041875,1.1339120,0.3617191,0.3609753,1.1500000
0.537500,Walking,0.5058602,1.1355820,0.4014587,0.4008579,1.1500000
0.541667,Walking,0.5076504,1.1373710,0.4296541,0.4293537,1.1500000
0.545833,Walking,0.5089529,1.1386730,0.3125811,0.3125954,1.1500000
0.550000,Walking,0.5102193,1.1399420,0.3039408,0.3044415,1.1500000
0.554167,Walking,0.5112455,1.1409730,0.2463055,0.2474213,1.1500000
0.558333,Walking,0.5126077,1.1423410,0.3269148,0.3284740,1.1500000
0.562500,Walking,0.5139152,1.1436570,0.3137970,0.3157997,1.1500000
0.566667,Walking,0.5151696,1.1449210,0.3010654,0.3034115,1.1500000
0.570833,Walking,0.5163729,1.1461360,0.2887774,0.2914524,1.1500000
0.575000,Walking,0.5175261,1.1473020,0.2767897,0.2798080,1.1500000
0.579167,Walking,0.5186309,1.1484200,0.2651453,0.2684784,1.1500000
0.583333,Walking,0.5196887,1.1494930,0.2538729,0.2574921,1.1500000
0.587500,Walking,0.5207014,1.1505220,0.2430439,0.2469349,1.1500000
0.591667,Walking,0.5217028,1.1515410,0.2403259,0.2445316,1.1500000
0.595833,Walking,0.5226671,1.1525240,0.2314281,0.2360058,1.1500000
0.600000,Walking,0.5235885,1.1534650,0.2211571,0.2257919,1.1500000
0.604167,Walking,0.5244612,1.1543560,0.2094269,0.2139187,1.1500000
0.608333,Walking,0.5252792,1.1551920,0.1963234,0.2005291,1.1500000
0.612500,Walking,0.5260366,1.1559650,0.1817751,0.1855946,1.1500000
0.616667,Walking,0.5267276,1.1566700,0.1658535,0.1692295,1.1500000
0.620833,Walking,0.5273460,1.1573010,0.1484156,0.1513195,1.1500000
0.625000,Walking,0.5278818,1.1578470,0.1285887,0.1310635,1.1500000
0.629167,Walking,0.5283509,1.1583250,0.1125956,0.1147556,1.1500000
0.633333,Walking,0.5287569,1.1587390,0.0974321,0.0992775,1.1500000
0.637500,Walking,0.5291029,1.1590910,0.0830412,0.0846005,1.1500000
0.641667,Walking,0.5293928,1.1593860,0.0695658,0.0707817,1.1500000
0.645833,Walking,0.5296295,1.1596270,0.0568056,0.0576782,1.1500000
0.650000,Walking,0.5298162,1.1598150,0.0448036,0.0453186,1.1500000
0.654167,Walking,0.5299566,1.1599570,0.0337172,0.0339031,1.1500000
0.658333,Walking,0.5311058,1.1611050,0.2757883,0.2756310,1.1500000
0.662500,Walking,0.5321974,1.1621940,0.2619839,0.2614403,1.1500000
0.666667,Walking,0.5332352,1.1632290,0.2490807,0.2481937,1.1500000
0.670833,Walking,0.5342224,1.1642110,0.2369356,0.2357197,1.1500000
0.675000,Walking,0.5351623,1.1651440,0.2255774,0.2239895,1.1500000
0.679167,Walking,0.5360585,1.1660320,0.2150774,0.2131748,1.1500000
0.683333,Walking,0.5369140,1.1668790,0.2053213,0.2031040,1.1500000
0.687500,Walking,0.5377321,1.1676860,0.1963520,0.1938057,1.1500000
0.691667,Walking,0.5394598,1.1694010,0.4146481,0.4116726,1.1500000
0.695833,Walking,0.5411838,1.1711110,0.4137611,0.4102421,1.1500000
0.700000,Walking,0.5428997,1.1728100,0.4118013,0.4078388,1.1500000
0.704167,Walking,0.5446022,1.1744940,0.4085970,0.4041767,1.1500000
0.708333,Walking,0.5462860,1.1761580,0.4041195,0.3993702,1.1500000
0.712500,Walking,0.5479454,1.1777970,0.3982687,0.3934193,1.1500000
0.716667,Walking,0.5495744,1.1794060,0.3909588,0.3861523,1.1500000
0.720833,Walking,0.5511668,1.1809800,0.3821754,0.3776836,1.1500000
0.725000,Walking,0.5524672,1.1822630,0.3120947,0.3080177,1.1500000
0.729167,Walking,0.5537225,1.1835030,0.3012657,0.2974033,1.1500000
0.733333,Walking,0.5549312,1.1846960,0.2900934,0.2865028,1.1500000
0.737500,Walking,0.5560922,1.1858440,0.2786350,0.2754307,1.1500000
0.741667,Walking,0.5572039,1.1869440,0.2668190,0.2639294,1.1500000
0.745833,Walking,0.5582663,1.1879960,0.2549601,0.2524281,1.1500000
0.750000,Walking,0.5591546,1.1888750,0.2132034,0.2111149,1.1500000
0.754167,Walking,0.5599476,1.1896610,0.1903152,0.1886272,1.1500000
0.758333,Walking,0.5591722,1.1888810,-0.1861095,-0.1872540,1.1500000
0.762500,Walking,0.5583336,1.1880400,-0.2012444,-0.2017593,1.1500000
0.766667,Walking,0.5574360,1.1871430,-0.2154350,-0.2154064,1.1500000
0.770833,Walking,0.5562912,1.1860000,-0.2747583,-0.2743149,1.1500000
0.775000,Walking,0.5553051,1.1850170,-0.2366638,-0.2359772,1.1500000
0.779167,Walking,0.5543422,1.1840570,-0.2310848,-0.2302265,1.1500000
0.783333,Walking,0.5533916,1.1831100,-0.2281523,-0.2272797,1.1500000
0.787500,Walking,0.5524203,1.1821420,-0.2331161,-0.2323723,1.1500000
0.791667,Walking,0.5506502,1.1803740,-0.4248190,-0.4242325,1.1500000
0.795833,Walking,0.5488728,1.1785990,-0.4265642,-0.4260063,1.1500000
0.800000,Walking,0.5470885,1.1768170,-0.4282379,-0.4277802,1.1500000
0.804167,Walking,0.5452979,1.1750280,-0.4297400,-0.4293823,1.1500000
0.808333,Walking,0.5435017,1.1732330,-0.4310989,-0.4307842,1.1500000
0.812500,Walking,0.5417005,1.1714330,-0.4322863,-0.4319859,1.1500000
0.816667,Walking,0.5398945,1.1696280,-0.4334307,-0.4331017,1.1500000
0.820833,Walking,0.5380844,1.1678200,-0.4344320,-0.4340744,1.1500000
0.825000,Walking,0.5370355,1.1667720,-0.2517271,-0.2513695,1.1500000
0.829167,Walking,0.5359970,1.1657350,-0.2492523,-0.2490807,1.1500000
0.833333,Walking,0.5349680,1.1647060,-0.2469492,-0.2468491,1.1500000
0.837500,Walking,0.5339485,1.1636860,-0.2446747,-0.2447319,1.1500000
0.841667,Walking,0.5329382,1.1626750,-0.2424860,-0.2426147,1.1500000
0.845833,Walking,0.5319362,1.1616730,-0.2404833,-0.2406406,1.1500000
0.850000,Walking,0.5309587,1.1606950,-0.2346039,-0.2347469,1.1500000
0.854167,Walking,0.5299433,1.1596790,-0.2436876,-0.2437019,1.1500000
0.858333,Walking,0.5290664,1.1588030,-0.2104568,-0.2102852,1.1500000
0.862500,Walking,0.5280606,1.1577980,-0.2413845,-0.2411556,1.1500000
0.866667,Walking,0.5270267,1.1567650,-0.2481508,-0.2478504,1.1500000
0.870833,Walking,0.5260544,1.1557940,-0.2333307,-0.2330875,1.1500000
0.875000,Walking,0.5250823,1.1548230,-0.2333164,-0.2331448,1.1500000
0.879167,Walking,0.5241103,1.1538510,-0.2332735,-0.2332306,1.1500000
0.883333,Walking,0.5231387,1.1528790,-0.2331877,-0.2332020,1.1500000
0.887500,Walking,0.5221674,1.1519070,-0.2331161,-0.2333164,1.1500000
0.891667,Walking,0.5203381,1.1500770,-0.4390383,-0.4391956,1.1500000
0.895833,Walking,0.5184864,1.1482250,-0.4443884,-0.4444885,1.1500000
0.900000,Walking,0.5166506,1.1463890,-0.4406118,-0.4406548,1.1500000
0.904167,Walking,0.5148425,1.1445810,-0.4339314,-0.4340458,1.1500000
0.908333,Walking,0.5130460,1.1427830,-0.4311705,-0.4313564,1.1500000
0.912500,Walking,0.5112368,1.1409730,-0.4342031,-0.4344463,1.1500000
0.916667,Walking,0.5094274,1.1391620,-0.4342461,-0.4345894,1.1500000
0.920833,Walking,0.5077320,1.1374650,-0.4068947,-0.4073811,1.1500000
0.925000,Walking,0.5068047,1.1365350,-0.2225590,-0.2231598,1.1500000
0.929167,Walking,0.5058325,1.1355600,-0.2333307,-0.2340889,1.1500000
0.933333,Walking,0.5048603,1.1345840,-0.2333164,-0.2340603,1.1500000
0.937500,Walking,0.5038881,1.1336100,-0.2333307,-0.2339172,1.1500000
0.941667,Walking,0.5029158,1.1326360,-0.2333593,-0.2336884,1.1500000
0.945833,Walking,0.5019436,1.1316640,-0.2333307,-0.2332878,1.1500000
0.950000,Walking,0.5009713,1.1306940,-0.2333450,-0.2328587,1.1500000
