scenario,time,resident,x,z,speed,reason
head_on,0.00,0,-3.994,0.000,0.125,경로 이동
head_on,0.00,1,3.994,0.000,0.125,경로 이동
head_on,0.25,0,-3.869,0.000,0.750,경로 이동
head_on,0.25,1,3.869,0.000,0.750,경로 이동
head_on,0.50,0,-3.588,0.000,1.375,경로 이동
head_on,0.50,1,3.588,0.000,1.375,경로 이동
head_on,0.75,0,-3.243,0.000,1.380,경로 이동
head_on,0.75,1,3.219,0.000,1.476,경로 이동
head_on,1.00,0,-2.898,0.000,1.380,경로 이동
head_on,1.00,1,2.849,0.000,1.476,경로 이동
head_on,1.25,0,-2.553,0.000,1.380,경로 이동
head_on,1.25,1,2.480,0.000,1.476,경로 이동
head_on,1.50,0,-2.208,0.000,1.380,경로 이동
head_on,1.50,1,2.111,0.000,1.476,경로 이동
head_on,1.75,0,-1.863,0.000,1.380,경로 이동
head_on,1.75,1,1.742,0.000,1.476,경로 이동
head_on,2.00,0,-1.580,0.000,0.880,느긋함: 잠시 양보
head_on,2.00,1,1.436,0.000,0.976,우회: Resident_01
head_on,2.25,0,-1.454,0.000,0.255,느긋함: 잠시 양보
head_on,2.25,1,1.228,0.057,0.939,우회: Resident_01
head_on,2.50,0,-1.447,0.000,0.000,느긋함: 잠시 양보
head_on,2.50,1,0.969,0.246,1.476,우회: Resident_01
head_on,2.75,0,-1.447,0.000,0.000,느긋함: 잠시 양보
head_on,2.75,1,0.719,0.510,1.467,우회: Resident_01
head_on,3.00,0,-1.447,0.000,0.000,느긋함: 잠시 양보
head_on,3.00,1,0.493,0.802,1.476,우회: Resident_01
head_on,3.25,0,-1.447,0.000,0.000,느긋함: 잠시 양보
head_on,3.25,1,0.247,1.077,1.476,우회: Resident_01
head_on,3.50,0,-1.428,0.000,0.250,경로 이동
head_on,3.50,1,-0.018,1.334,1.476,우회: Resident_01
head_on,3.75,0,-1.272,0.000,0.875,경로 이동
head_on,3.75,1,-0.304,1.565,1.459,경로 이동
head_on,4.00,0,-0.966,0.000,1.380,경로 이동
head_on,4.00,1,-0.624,1.679,1.310,경로 이동
head_on,4.25,0,-0.621,0.000,1.380,경로 이동
head_on,4.25,1,-0.968,1.643,1.425,경로 이동
head_on,4.50,0,-0.276,0.000,1.380,경로 이동
head_on,4.50,1,-1.295,1.481,1.476,경로 이동
head_on,4.75,0,0.069,0.000,1.380,경로 이동
head_on,4.75,1,-1.619,1.304,1.476,경로 이동
head_on,5.00,0,0.414,0.000,1.380,경로 이동
head_on,5.00,1,-1.942,1.127,1.476,경로 이동
head_on,5.25,0,0.759,0.000,1.380,경로 이동
head_on,5.25,1,-2.266,0.949,1.476,경로 이동
head_on,5.50,0,1.105,0.000,1.380,경로 이동
head_on,5.50,1,-2.590,0.772,1.476,경로 이동
head_on,5.75,0,1.450,0.000,1.380,경로 이동
head_on,5.75,1,-2.913,0.595,1.476,경로 이동
